CRASH WATCH: PC: 0x0101 | Op: 0x00 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0213 | Op: 0xC3 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0216 | Op: 0x21 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0200 | Op: 0xC3 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0201 | Op: 0x47 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0204 | Op: 0x11 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x0E | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC3 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC3 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC3 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC3 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC2 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC2 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC2 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC2 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xD6 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xD6 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xD6 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xD6 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x05 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x05 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x05 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x05 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xFC | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xFC | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xFC | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xFC | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x1F | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x1F | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x1F | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x1F | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x30 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xCE | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xCE | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xCE | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xCE | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x01 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x01 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x01 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x01 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xD0 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xD0 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xD0 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xD0 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xDF | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xDF | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xDF | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xDF | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF6 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF6 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF6 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF6 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xB7 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC8 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xFF | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xFF | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xFF | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xFF | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x12 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x12 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x12 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x12 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x3E | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xD4 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xD4 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xD4 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xD4 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x3D | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x20 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF5 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x7C | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x7C | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x7C | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x7C | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x10 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x10 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x10 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x10 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x7D | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x7D | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x7D | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x7D | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xCD | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x03 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC0 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xF1 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0xC9 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0207 | Op: 0x2A | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0208 | Op: 0x12 | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0209 | Op: 0x1C | A: 0x00 | Z: 0
CRASH WATCH: PC: 0x0206 | Op: 0x20 | A: 0x00 | Z: 0
